uniqueid,age_band,gender,culp_planning,culp_forcethreat,culp_role,culp_other_sophisticated,culp_other_usedchild,culp_other_banning,culp_other_involveothers,culp_other_coerced,culp_other_disorder,value_goods,harm_emotional,harm_injury,harm_damage,harm_effect,harm_otherfactors,culpability_category,harm_category,starting_point,agg_precons,agg_precons_amount,agg_attemptstoconceal,agg_failuretocomply,agg_bail,agg_TICs,agg_widerimpact,agg_prevalence,agg_professional,agg_stealing,agg_otherfactors,mit_age,mit_character,mit_convictions,mit_finhardship,mit_steps,mit_disorder,mit_remorse,mit_return,mit_condition,mit_carer,mit_otherfactors,outcome_before_GP,GP_entered,GP_firstopportunity,GP_when,GP_fewerrequirements,GP_reduction,GP_percentreduction,GP_droppedthreshold,outcome,outcome_custody_measure,outcome_custody_length,outcome_custody_years,outcome_suspension_years,totality_adjustment
POST342,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,10 to 19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Unknown/Missing,First hearing,0,1,33,0,Immediate Custody,days,14,0.04,,No
POST343,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST344,30 to 39,Male,Little or no planning,None,Leading,0,0,0,0,0,0,Up to £10,0,0,0,0,0,A - High,Category 3,Community Order - High,Yes,20 or more,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,8,0.15,,No
POST345,30 to 39,Male,Little or no planning,None,Leading,0,0,0,0,0,0,£201-£500,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,Unknown/Missing
POST346,22 to 29,Male,Some planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,B - Medium,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST347,40 to 49,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£501-£1000,0,0,0,0,0,B - Medium,Category 2,Unknown/Missing,Yes,20 or more,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,30,0,Immediate Custody,weeks,12,0.23,,Yes
POST348,40 to 49,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 2,Unknown/Missing,Yes,20 or more,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,30,0,Immediate Custody,weeks,12,0.23,,Yes
POST349,40 to 49,Male,Some planning,Unknown/Missing,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,B - Medium,Category 3,Community Order - Low,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST350,22 to 29,Male,High level of planning,None,Significant,1,0,0,0,0,0,£501-£1000,0,0,0,0,0,A - High,Category 2,Custody,Yes,1 to 3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Suspended sentence order,Yes,Yes,First hearing,0,1,30,0,Suspended sentence order,weeks,8,0.15,1,Yes
POST351,30 to 39,Male,Little or no planning,Limited or low level,Lone,0,0,0,0,0,1,Up to £10,0,0,0,0,0,B - Medium,Category 3,Community Order (no level),Yes,20 or more,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST352,30 to 39,Male,Little or no planning,Unknown/Missing,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band A,Yes,Yes,Unknown/Missing,0,1,33,0,Fine band A,,,,,Unknown/Missing
POST353,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,1,0,A - High,Category 3,Fine band A,Yes,20 or more,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Immediate Custody,Yes,Unknown/Missing,Unknown/Missing,0,1,25,0,Immediate Custody,weeks,3,0.06,,No
POST354,Unknown/Missing,Male,Some planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Yes,10 to 19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,Yes
POST355,40 to 49,Female,High level of planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,C - Lesser,Category 3,Fine band B,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unknown/Missing,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Yes
POST356,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,0,Unknown/Missing,0,0,0,0,0,C - Lesser,Category 3,Conditional discharge,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,30,0,Unknown/Missing,,,,,Unknown/Missing
POST357,18 to 21,Male,Some planning,None,Leading,0,0,0,0,0,0,£501-£1000,0,0,0,0,1,B - Medium,Category 2,Unknown/Missing,Yes,1 to 3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,Unknown,0,Immediate Custody,,,,,Yes
POST358,40 to 49,Female,Little or no planning,None,Lone,0,0,0,0,0,0,Up to £10,0,0,0,1,0,C - Lesser,Unknown/Missing,Fine band A,Yes,1 to 3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,Fine band A,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST359,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Unknown/Missing,Fine band A,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,No
POST360,30 to 39,Female,Little or no planning,None,Lone,0,0,0,0,0,0,Up to £10,0,0,0,0,1,C - Lesser,Category 3,Fine band A,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Discharge,Yes,Yes,First hearing,0,1,Unknown,0,Conditional discharge,,,,,Unknown/Missing
POST361,Unknown/Missing,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,1,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,33,0,Conditional discharge,,,,,Yes
POST362,40 to 49,Male,Some planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 3,Community Order (no level),Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Community Order - Medium,Yes,Yes,First hearing,0,1,30,0,Community Order - Medium,,,,,No
POST363,40 to 49,Male,Some planning,Limited or low level,Lone,0,0,0,0,0,0,£501-£1000,0,0,0,0,0,B - Medium,Category 2,Community Order (no level),Yes,4 to 9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Community Order - Medium,Yes,Yes,First hearing,1,0,,0,Community Order - Medium,,,,,Yes
POST364,40 to 49,Male,Little or no planning,None,Significant,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,10 to 19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,30,0,Unknown/Missing,,,,,No
POST365,40 to 49,Male,Some planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 2,Fine (no band),No,Not applicable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Unknown/Missing,,,,,Unknown/Missing
POST366,40 to 49,Male,High level of planning,None,Lone,1,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 3,Unknown/Missing,Yes,Unknown/Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Unknown/Missing,Yes,Yes,First hearing,1,0,,0,Community Order - Low,,,,,Yes
POST367,22 to 29,Female,Some planning,Limited or low level,Leading,0,0,0,0,0,0,£101-£200,0,0,0,1,0,Unknown/Missing,Unknown/Missing,Custody,Yes,Unknown/Missing,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Unknown/Missing,First hearing,0,1,33,0,Immediate Custody,weeks,4,0.08,,Yes
POST368,22 to 29,Female,Little or no planning,None,Significant,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,30,0,Conditional discharge,,,,,Unknown/Missing
POST369,40 to 49,Male,Little or no planning,None,Leading,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,30,0,Conditional discharge,,,,,Unknown/Missing
POST370,40 to 49,Male,Little or no planning,None,Limited,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Discharge,Yes,Yes,First hearing,0,0,,0,Fine band B,,,,,Yes
POST371,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£501-£1000,0,0,0,1,0,B - Medium,Category 2,Community Order (no level),Yes,20 or more,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,33.59999847,0.65,,Unknown/Missing
POST372,30 to 39,Male,Little or no planning,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,£201-£500,0,0,0,0,0,C - Lesser,Category 2,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,1,0,,0,Community Order - Low,,,,,No
POST373,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,20 or more,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,33,0,Suspended sentence order,weeks,12,0.23,1,No
POST374,40 to 49,Female,Some planning,None,Significant,0,0,0,0,0,0,More than £1000,0,0,0,0,0,B - Medium,Category 1,Community Order - Medium,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Community Order - High,Yes,Yes,First hearing,0,1,33,0,Community Order - Medium,,,,,No
POST375,50 to 59,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine band A,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,No
POST376,Unknown/Missing,Female,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,Unknown/Missing,0,0,0,0,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,,0,Unknown/Missing,,,,,Unknown/Missing
POST377,18 to 21,Male,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,£11-£50,0,0,0,0,0,B - Medium,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST378,22 to 29,Female,Little or no planning,None,Leading,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 3,Unknown/Missing,Yes,4 to 9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,6,0.12,,Yes
POST379,30 to 39,Male,Some planning,Limited or low level,Lone,0,0,0,0,0,0,£201-£500,0,1,0,1,0,B - Medium,Category 2,Community Order - Low,Yes,20 or more,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Suspended sentence order,Yes,Unknown/Missing,First hearing,0,1,Unknown,0,Suspended sentence order,weeks,12,0.23,1,Yes
POST380,30 to 39,Female,Some planning,High or significant level,Lone,0,0,0,0,0,0,£501-£1000,0,0,0,1,0,A - High,Category 1,Unknown/Missing,Yes,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suspended sentence order,Yes,Unknown/Missing,Unknown/Missing,0,1,33,0,Suspended sentence order,weeks,24,0.46,1,Yes
POST381,18 to 21,Female,Some planning,None,Significant,0,0,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 2,Community Order (no level),No,Not applicable,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Community Order - Low,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,,0,Unknown/Missing,,,,,Unknown/Missing
POST382,22 to 29,Male,Some planning,None,Significant,0,1,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 2,Community Order (no level),Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - High,Yes,Yes,First hearing,0,1,33,0,Community Order - Medium,,,,,No
POST383,22 to 29,Female,Some planning,None,Significant,0,1,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 2,Community Order (no level),No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,0,1,33,0,Community Order - Low,,,,,No
POST384,40 to 49,Female,High level of planning,None,Leading,0,0,0,0,0,0,More than £1000,0,0,0,1,0,A - High,Category 3,Fine band C,Yes,10 to 19,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,16,0.31,,No
POST385,18 to 21,Male,High level of planning,None,Leading,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 2,Unknown/Missing,Yes,Unknown/Missing,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,33,0,Unknown/Missing,,,,,Unknown/Missing
POST386,22 to 29,Male,Some planning,Unknown/Missing,Leading,0,0,0,0,0,0,£101-£200,0,0,0,1,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Yes,Unknown/Missing,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Medium,Yes,Yes,First hearing,0,1,33,0,Community Order - Medium,,,,,No
POST387,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Absolute discharge,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,Unknown,0,Conditional discharge,,,,,Unknown/Missing
POST388,40 to 49,Male,Unknown/Missing,Unknown/Missing,Lone,0,0,0,0,0,0,£501-£1000,0,0,0,0,0,B - Medium,Category 2,Community Order (no level),Yes,20 or more,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Unknown/Missing,First hearing,0,1,33,0,Immediate Custody,weeks,12,0.23,,Yes
POST389,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,0,,1,Suspended sentence order,weeks,12,0.23,1,Yes
POST390,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Community Order (no level),Yes,1 to 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fine band A,Yes,Yes,Unknown/Missing,0,1,33,0,Fine band A,,,,,Yes
POST391,Unknown/Missing,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,Unknown,0,Conditional discharge,,,,,No
POST392,18 to 21,Male,Some planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 2,Community Order - Low,Yes,4 to 9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,9,0.17,,Yes
POST393,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Yes,4 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,8,0.15,,No
POST394,22 to 29,Male,Some planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,C - Lesser,Category 3,Fine (no band),Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Unknown/Missing,Yes,Yes,First hearing,0,0,,0,Immediate Custody,weeks,12,0.23,,Yes
POST395,22 to 29,Male,Little or no planning,None,Leading,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,4 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Medium,Yes,Yes,First hearing,1,0,,0,Community Order - Medium,,,,,Unknown/Missing
POST396,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),Yes,1 to 3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fine band C,Yes,Yes,First hearing,0,1,33,0,Fine band C,,,,,Unknown/Missing
POST397,22 to 29,Male,Some planning,High or significant level,Leading,0,0,0,0,0,0,£101-£200,0,0,0,0,1,Unknown/Missing,Unknown/Missing,Unknown/Missing,Yes,Unknown/Missing,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Community Order - High,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,8,0.15,,Yes
POST398,18 to 21,Male,Little or no planning,High or significant level,Lone,0,0,0,0,0,1,£51-£100,0,1,0,0,0,Unknown/Missing,Category 3,Fine (no band),Yes,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,1,0,,0,Community Order - Medium,,,,,Yes
POST399,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,0,,1,Community Order - High,,,,,No
POST400,22 to 29,Male,Some planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 3,Custody,Yes,10 to 19,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Immediate Custody,Yes,No,Day of trial,0,0,,0,Unknown/Missing,,,,,Yes
POST401,22 to 29,Male,Little or no planning,Limited or low level,Limited,0,1,0,0,0,0,£201-£500,0,0,0,0,1,C - Lesser,Category 3,Fine band A,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,No
POST402,30 to 39,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,20 or more,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Suspended sentence order,Yes,Yes,First hearing,0,1,33,0,Suspended sentence order,weeks,6,0.12,1,Yes
POST403,30 to 39,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,20 or more,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,0,,1,Unknown/Missing,,,,,Unknown/Missing
POST404,30 to 39,Male,Little or no planning,None,Unknown/Missing,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Fine band C,Yes,Yes,First hearing,0,1,30,0,Unknown/Missing,,,,,Yes
POST405,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,B - Medium,Category 3,Fine band C,Yes,4 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,30,0,Community Order - Medium,,,,,Yes
POST406,50 to 59,Male,Little or no planning,Limited or low level,Lone,0,0,0,0,0,0,Up to £10,0,1,0,0,0,C - Lesser,Category 2,Unknown/Missing,Yes,10 to 19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,Unknown,0,Fine band A,,,,,Yes
POST407,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,B - Medium,Category 2,Community Order (no level),No,Not applicable,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Community Order - Medium,Yes,Yes,First hearing,0,1,30,0,Community Order - Medium,,,,,Yes
POST408,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,No,Not applicable,Not applicable,0,0,,0,Fine band A,,,,,No
POST409,30 to 39,Male,Little or no planning,None,Leading,0,0,0,0,0,0,£101-£200,0,0,0,0,1,C - Lesser,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,30,0,Fine band A,,,,,Yes
POST410,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,1,£11-£50,0,0,0,0,0,Unknown/Missing,Category 3,Fine (no band),Yes,10 to 19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Community Order - Low,Yes,Yes,Subsequent hearing,0,1,33,0,Community Order - Low,,,,,Yes
POST411,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,0,0,C - Lesser,Category 3,Fine band A,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Unknown/Missing
POST412,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fine band A,Yes,Unknown/Missing,First hearing,0,1,33,0,Fine band A,,,,,Unknown/Missing
POST413,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Unknown/Missing,Unknown/Missing,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band A,Yes,Unknown/Missing,First hearing,0,1,33,0,Fine band A,,,,,No
POST414,40 to 49,Male,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,More than £1000,0,0,0,0,0,A - High,Category 3,Unknown/Missing,Yes,10 to 19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Community Order - Medium,Yes,Yes,Unknown/Missing,0,0,,1,Community Order - Medium,,,,,Yes
POST415,22 to 29,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,B - Medium,Category 3,Fine band C,Yes,10 to 19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,12,0.23,,Unknown/Missing
POST416,18 to 21,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),No,Not applicable,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Fine band B,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST417,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Unknown/Missing,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band B,Yes,Yes,Subsequent hearing,0,1,Unknown,0,Unknown/Missing,,,,,Yes
POST418,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,1,0,0,1,0,C - Lesser,Unknown/Missing,Unknown/Missing,Yes,1 to 3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Community Order - Low,Yes,Unknown/Missing,Unknown/Missing,1,0,,0,Community Order - Low,,,,,Yes
POST419,50 to 59,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,1,C - Lesser,Category 3,Fine (no band),Yes,4 to 9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,Unknown/Missing
